"dgp_id","n","basis","estimator","n_valid","mean_time","sd_time","p","var_coef1","var_coef2","mean_coef1","mean_coef2","bias_coef1","bias_coef2","mse_coef1","mse_coef2","cov_coef1","cov_coef2","var_coef1_ols","var_coef2_ols","g2_emp_coef1","g2_emp_coef2","gamma3_dgp","gamma4_dgp","g2_theoretical"
"Exp1",100,"pos","huber_fp",1000,0.000580999999999918,0.000670737570804645,6,50949.9238949747,4759.98329325233,-11.3684754882198,-3.88112913512641,-12.3684754882198,-5.88112913512641,51102.9030808774,4794.57097315636,0.939,0.934,74085.939425135,6868.76946085939,0.687713813043572,0.692989234880621,2,6,0.5
"Exp1",100,"pos","gmm_fp",952,0.000362394957982909,0.00141420379946821,6,38555.6641025599,3597.01127975832,-13.6545233667808,-4.65886108933066,-14.6545233667808,-6.65886108933066,38770.4191576674,3641.35171076533,0.928571428571429,0.92436974789916,74085.939425135,6868.76946085939,0.520418103647332,0.523676227635144,2,6,0.5
"Exp1",1000,"pos","ols_fp",1000,0.000128999999999906,0.000338339287510778,6,5334.24540187232,488.966016192096,2.01189553339564,0.36566767101075,1.01189553339564,-1.63433232898925,5335.26933444283,491.637058353676,0.966,0.964,5334.24540187232,488.966016192096,1,1,2,6,0.5
"Exp1",1000,"pos","mle_fp",1000,0.000132000000000005,0.00034741430122651,6,5334.24540187232,488.966016192096,2.01189553339564,0.36566767101075,1.01189553339564,-1.63433232898925,5335.26933444283,491.637058353676,0.965,0.962,5334.24540187232,488.966016192096,1,1,2,6,0.5
"Exp1",1000,"pos","pmm_fp",1000,0.00384799999999994,0.00139815980876675,6,2614.18750488786,240.522784393978,-0.262337925774969,-0.347652529799835,-1.26233792577497,-2.34765252979983,2615.78100192671,246.034256794653,0.954,0.951,5334.24540187232,488.966016192096,0.490076347812998,0.491900820157377,2,6,0.5
"Exp1",1000,"pos","huber_fp",1000,0.00119800000000008,0.000998896287806774,6,3121.90845099802,286.875678233297,0.192195795508619,-0.161745447262453,-0.807804204491381,-2.16174544726245,3122.56099863082,291.548821612057,0.955,0.954,5334.24540187232,488.966016192096,0.585257747966045,0.586698602220639,2,6,0.5
"Exp1",1000,"pos","gmm_fp",1000,0.000776999999999873,0.000584476357616408,6,2614.187504834,240.522784388954,-0.262337927486003,-0.347652530317344,-1.262337927486,-2.34765253031734,2615.78100187717,246.034256792059,0.962,0.956,5334.24540187232,488.966016192096,0.4900763478029,0.491900820147103,2,6,0.5
"Exp1",200,"pos","ols_fp",1000,6.7999999999941e-05,0.000274684275944842,6,32903.5349882196,3034.95025391168,1.06938084304358,-0.0558129921947353,0.0693808430435816,-2.05581299219474,32903.539801921,3039.17662097056,0.937,0.94,32903.5349882196,3034.95025391168,1,1,2,6,0.5
"Exp1",200,"pos","mle_fp",1000,7.20000000000028e-05,0.0002808823506291,6,32903.5349882196,3034.95025391168,1.06938084304358,-0.0558129921947353,0.0693808430435816,-2.05581299219474,32903.539801921,3039.17662097056,0.935,0.935,32903.5349882196,3034.95025391168,1,1,2,6,0.5
"Exp1",200,"pos","pmm_fp",979,0.00168299999999989,0.00152539759991891,6,114784.552068145,11209.1027319853,-17.1147255393362,-5.70727829030719,-18.1147255393362,-7.70727829030719,115112.695349511,11268.5048706295,0.918,0.914,32903.5349882196,3034.95025391168,3.48851733132143,3.69333985541875,2,6,0.5
